datum,piste_10,piste_16,piste_28,piste_32,piste_34,anzahl_abfluege_total
07.10.20,0,1,57,58,13,129
08.10.20,0,5,111,4,4,124
09.10.20,0,7,151,10,3,171
10.10.20,0,11,99,39,13,162
11.10.20,0,6,130,33,10,179
12.10.20,0,6,118,2,7,133
13.10.20,0,6,92,1,5,104
14.10.20,54,4,50,7,5,120
15.10.20,0,10,99,5,5,119
16.10.20,0,7,146,8,7,168
17.10.20,0,10,106,30,13,159
18.10.20,0,3,115,22,14,154
19.10.20,0,2,105,5,8,120
20.10.20,0,2,75,5,4,86
21.10.20,0,2,80,6,3,91
22.10.20,0,5,68,26,11,110
23.10.20,0,4,123,3,7,137
24.10.20,0,8,87,27,12,134
25.10.20,0,3,92,12,12,119
26.10.20,0,0,80,26,5,111
27.10.20,0,6,72,3,3,84
28.10.20,0,2,82,5,2,91
29.10.20,0,3,43,58,9,113
30.10.20,0,3,81,38,4,126
31.10.20,0,7,91,0,13,111
01.09.20,0,5,118,5,5,133
02.09.20,0,2,113,6,8,129
03.09.20,0,7,137,7,5,156
04.09.20,0,4,161,10,10,185
05.09.20,0,10,94,42,22,168
06.09.20,0,6,123,26,18,173
07.09.20,101,2,40,11,4,158
08.09.20,0,5,101,5,5,116
09.09.20,0,1,120,10,5,136
10.09.20,33,10,82,11,4,140
11.09.20,0,8,161,7,8,184
12.09.20,0,11,113,25,15,164
13.09.20,0,7,128,36,7,178
14.09.20,0,2,121,9,8,140
15.09.20,0,7,102,2,4,115
16.09.20,0,2,132,8,2,144
17.09.20,75,2,41,4,12,134
18.09.20,0,7,147,7,10,171
19.09.20,0,10,104,30,16,160
20.09.20,9,6,126,28,6,175
21.09.20,0,3,108,13,6,130
22.09.20,0,6,115,6,4,131
23.09.20,0,1,113,6,8,128
24.09.20,0,7,106,10,7,130
25.09.20,0,9,140,21,7,177
26.09.20,0,1,0,138,13,152
27.09.20,0,6,105,51,12,174
28.09.20,0,9,115,12,4,140
29.09.20,0,5,104,7,2,118
30.09.20,0,2,119,3,8,132
01.08.20,0,18,125,41,9,193
02.08.20,0,7,109,55,15,186
03.08.20,0,4,148,10,5,167
04.08.20,0,5,118,3,5,131
05.08.20,79,3,57,6,6,151
06.08.20,0,8,142,11,5,166
07.08.20,0,10,160,11,7,188
08.08.20,0,20,128,49,8,205
09.08.20,0,12,129,32,13,186
10.08.20,0,5,145,10,9,169
11.08.20,0,7,112,3,3,125
12.08.20,0,4,132,5,5,146
13.08.20,0,10,133,12,3,158
14.08.20,0,8,157,11,4,180
15.08.20,0,18,127,29,22,196
16.08.20,0,9,138,33,13,193
17.08.20,0,5,148,10,5,168
18.08.20,0,4,94,18,2,118
19.08.20,0,1,126,6,7,140
20.08.20,0,9,128,3,6,146
21.08.20,0,6,165,10,1,182
22.08.20,0,8,100,29,41,178
23.08.20,0,0,7,143,20,170
24.08.20,0,0,54,86,11,151
25.08.20,0,6,102,4,3,115
26.08.20,0,0,0,123,13,136
27.08.20,0,6,136,7,4,153
28.08.20,0,4,85,90,8,187
29.08.20,0,12,111,28,15,166
30.08.20,0,3,104,48,14,169
31.08.20,0,4,145,6,7,162
01.07.20,0,13,77,35,5,130
02.07.20,0,3,48,72,7,130
03.07.20,0,4,138,8,8,158
04.07.20,0,9,78,28,20,135
05.07.20,0,2,55,66,17,140
06.07.20,0,0,24,74,31,129
07.07.20,0,8,101,4,9,122
08.07.20,0,2,61,68,4,135
09.07.20,0,11,118,9,3,141
10.07.20,0,6,89,73,3,171
11.07.20,0,14,90,47,6,157
12.07.20,80,8,23,23,15,149
13.07.20,0,7,123,14,4,148
14.07.20,0,7,95,8,4,114
15.07.20,0,3,85,48,7,143
16.07.20,0,11,89,42,11,153
17.07.20,0,6,144,12,1,163
18.07.20,65,18,30,36,18,167
19.07.20,0,10,107,32,13,162
20.07.20,0,6,129,13,6,154
21.07.20,0,8,104,4,5,121
22.07.20,0,5,126,10,7,148
23.07.20,0,12,98,41,7,158
24.07.20,0,8,123,21,7,159
25.07.20,0,15,114,39,13,181
26.07.20,0,3,95,47,21,166
27.07.20,0,5,136,11,3,155
28.07.20,0,1,71,46,4,122
29.07.20,0,4,127,8,5,144
30.07.20,0,7,120,8,9,144
31.07.20,0,13,158,13,1,185
01.06.20,0,2,38,4,2,46
02.06.20,13,2,16,1,7,39
03.06.20,0,3,28,11,5,47
04.06.20,0,3,48,4,3,58
05.06.20,0,2,22,45,9,78
06.06.20,0,0,3,36,8,47
07.06.20,0,3,54,4,6,67
08.06.20,24,4,36,4,5,73
09.06.20,0,2,31,2,6,41
10.06.20,0,0,42,3,4,49
11.06.20,0,2,34,3,10,49
12.06.20,0,3,55,1,4,63
13.06.20,12,9,23,6,10,60
14.06.20,0,7,53,2,6,68
15.06.20,0,5,84,5,1,95
16.06.20,4,2,41,2,7,56
17.06.20,0,1,66,1,5,73
18.06.20,0,2,62,5,6,75
19.06.20,0,4,93,2,3,102
20.06.20,0,10,51,20,5,86
21.06.20,0,5,73,9,6,93
22.06.20,0,3,86,3,7,99
23.06.20,33,0,26,0,6,65
24.06.20,43,5,28,3,2,81
25.06.20,0,4,77,5,5,91
26.06.20,0,2,69,31,5,107
27.06.20,0,9,60,8,9,86
28.06.20,0,1,55,22,13,91
29.06.20,0,1,80,17,4,102
30.06.20,0,1,67,3,6,77
01.05.20,0,0,8,14,8,30
02.05.20,0,2,8,7,5,22
03.05.20,0,1,21,2,10,34
04.05.20,0,2,19,8,3,32
05.05.20,0,0,17,0,0,17
06.05.20,0,2,19,1,5,27
07.05.20,0,3,30,2,1,36
08.05.20,0,0,34,1,8,43
09.05.20,0,2,21,6,5,34
10.05.20,0,1,20,6,6,33
11.05.20,0,0,13,12,10,35
12.05.20,23,0,2,0,5,30
13.05.20,0,2,26,2,5,35
14.05.20,30,2,1,4,7,44
15.05.20,1,1,33,0,9,44
16.05.20,0,4,22,3,5,34
17.05.20,0,6,23,2,9,40
18.05.20,0,1,25,3,5,34
19.05.20,14,3,7,1,7,32
20.05.20,31,5,13,2,3,54
21.05.20,0,3,30,4,7,44
22.05.20,0,1,26,0,3,30
23.05.20,0,0,13,5,7,25
24.05.20,0,3,22,20,3,48
25.05.20,0,3,40,1,6,50
26.05.20,0,1,37,3,7,48
27.05.20,18,5,21,0,2,46
28.05.20,1,2,31,4,1,39
29.05.20,40,1,2,1,8,52
30.05.20,24,2,4,7,6,43
31.05.20,19,1,1,2,10,33
01.04.20,0,1,31,3,3,38
02.04.20,0,2,18,6,0,26
03.04.20,0,1,29,2,2,34
04.04.20,0,4,16,2,4,26
05.04.20,8,3,17,3,1,32
06.04.20,0,2,17,2,2,23
07.04.20,9,2,10,0,1,22
08.04.20,0,5,27,1,0,33
09.04.20,0,2,19,1,0,22
10.04.20,0,1,13,3,6,23
11.04.20,1,1,11,3,3,19
12.04.20,0,2,17,2,5,26
13.04.20,0,0,15,4,6,25
14.04.20,6,1,2,0,1,10
15.04.20,0,0,19,0,4,23
16.04.20,0,1,27,1,0,29
17.04.20,0,3,25,0,5,33
18.04.20,0,1,15,2,7,25
19.04.20,8,3,2,3,7,23
20.04.20,11,0,3,2,3,19
21.04.20,20,1,2,1,2,26
22.04.20,10,1,10,0,1,22
23.04.20,0,0,23,2,6,31
24.04.20,0,0,14,17,4,35
25.04.20,0,1,15,2,3,21
26.04.20,0,3,16,1,6,26
27.04.20,0,0,14,6,5,25
28.04.20,0,3,19,0,2,24
29.04.20,0,1,9,13,5,28
30.04.20,0,3,13,3,4,23
01.03.20,0,36,184,101,6,327
02.03.20,0,29,202,86,6,323
03.03.20,0,26,254,22,4,306
04.03.20,0,30,262,25,4,321
05.03.20,0,30,175,119,6,330
06.03.20,0,0,0,331,6,337
07.03.20,0,10,78,178,8,274
08.03.20,0,29,216,62,4,311
09.03.20,0,10,134,129,6,279
10.03.20,0,23,179,14,2,218
11.03.20,0,13,134,86,6,239
12.03.20,0,7,79,165,5,256
13.03.20,0,0,0,248,21,269
14.03.20,0,13,102,103,5,223
15.03.20,0,17,156,58,2,233
16.03.20,0,17,149,9,2,177
17.03.20,0,10,129,10,3,152
18.03.20,0,10,99,7,2,118
19.03.20,0,8,95,5,1,109
20.03.20,0,11,98,9,5,123
21.03.20,27,9,15,15,11,77
22.03.20,47,9,0,17,7,80
23.03.20,28,5,3,0,6,42
24.03.20,21,0,6,1,6,34
25.03.20,28,1,5,0,6,40
26.03.20,17,3,21,2,2,45
27.03.20,0,4,44,1,3,52
28.03.20,0,1,16,1,5,23
29.03.20,0,0,25,4,11,40
30.03.20,27,0,3,0,4,34
31.03.20,22,2,2,0,3,29
01.02.20,0,33,113,120,8,274
02.02.20,0,5,14,274,17,310
03.02.20,0,0,0,329,9,338
04.02.20,0,0,0,299,5,304
05.02.20,0,5,103,203,4,315
06.02.20,0,28,271,29,3,331
07.02.20,0,34,284,24,2,344
08.02.20,0,35,173,73,5,286
09.02.20,0,25,100,147,6,278
10.02.20,0,0,21,218,3,242
11.02.20,0,0,0,291,5,296
12.02.20,0,0,0,308,5,313
13.02.20,0,24,162,120,4,310
14.02.20,0,30,276,42,3,351
15.02.20,0,36,193,59,4,292
16.02.20,0,35,210,71,3,319
17.02.20,0,15,180,126,3,324
18.02.20,0,10,144,132,7,293
19.02.20,0,0,25,296,7,328
20.02.20,0,31,263,33,5,332
21.02.20,0,29,292,25,3,349
22.02.20,0,37,185,77,4,303
23.02.20,0,8,39,265,8,320
24.02.20,0,29,216,88,2,335
25.02.20,0,7,87,216,7,317
26.02.20,0,3,31,278,7,319
27.02.20,0,26,192,117,2,337
28.02.20,0,31,298,28,3,360
29.02.20,0,43,160,84,4,291
01.01.20,0,31,212,33,7,283
02.01.20,0,31,265,30,5,331
03.01.20,0,37,270,25,6,338
04.01.20,0,33,194,67,3,297
05.01.20,0,32,229,82,4,347
06.01.20,0,39,274,12,4,329
07.01.20,0,32,246,20,2,300
08.01.20,0,32,262,22,4,320
09.01.20,0,29,262,30,4,325
10.01.20,0,34,286,22,5,347
11.01.20,0,34,170,65,4,273
12.01.20,0,34,243,38,2,317
13.01.20,0,34,256,24,1,315
14.01.20,0,30,242,20,4,296
15.01.20,0,30,269,23,5,327
16.01.20,0,27,273,26,2,328
17.01.20,0,33,287,26,3,349
18.01.20,0,18,121,129,7,275
19.01.20,0,32,229,84,3,348
20.01.20,249,34,43,40,2,368
21.01.20,0,32,271,20,1,324
22.01.20,1,32,271,29,9,342
23.01.20,3,34,298,38,4,377
24.01.20,0,39,354,23,2,418
25.01.20,0,40,224,12,5,281
26.01.20,0,32,241,41,3,317
27.01.20,0,37,259,20,4,320
28.01.20,0,0,0,281,8,289
29.01.20,0,30,190,90,6,316
30.01.20,0,31,258,22,6,317
31.01.20,0,33,273,26,4,336
01.12.19,0,32,218,79,4,333
02.12.19,0,29,273,29,3,334
03.12.19,0,32,251,21,2,306
04.12.19,0,27,282,26,4,339
05.12.19,0,31,266,28,5,330
06.12.19,0,37,276,28,5,346
07.12.19,0,12,102,142,10,266
08.12.19,0,31,207,77,6,321
09.12.19,0,1,0,340,14,355
10.12.19,0,34,249,26,1,310
11.12.19,0,29,285,28,6,348
12.12.19,0,36,268,29,5,338
13.12.19,0,10,78,247,15,350
14.12.19,0,4,39,224,15,282
15.12.19,0,16,102,193,15,326
16.12.19,0,36,276,27,3,342
17.12.19,0,41,245,23,3,312
18.12.19,0,40,267,30,2,339
19.12.19,0,44,265,28,11,348
20.12.19,0,46,185,138,10,379
21.12.19,0,50,184,81,4,319
22.12.19,0,15,44,252,22,333
23.12.19,0,6,99,220,12,337
24.12.19,0,37,206,22,2,267
25.12.19,0,0,0,240,20,260
26.12.19,0,36,225,57,7,325
27.12.19,0,42,277,26,4,349
28.12.19,0,44,175,63,4,286
29.12.19,0,38,197,75,5,315
30.12.19,0,37,250,25,2,314
31.12.19,0,29,225,8,2,264
01.11.19,0,47,263,31,11,352
02.11.19,0,45,175,55,7,282
03.11.19,0,32,149,133,10,324
04.11.19,0,34,159,142,7,342
05.11.19,0,42,257,20,6,325
06.11.19,0,36,273,25,9,343
07.11.19,0,48,245,30,5,328
08.11.19,0,49,276,29,7,361
09.11.19,0,46,172,51,11,280
10.11.19,0,37,238,62,6,343
11.11.19,0,35,270,27,4,336
12.11.19,0,34,242,20,6,302
13.11.19,0,32,266,27,4,329
14.11.19,0,37,258,28,6,329
15.11.19,0,47,279,31,3,360
16.11.19,0,40,181,46,5,272
17.11.19,0,36,215,76,4,331
18.11.19,0,34,279,23,5,341
19.11.19,0,33,259,22,2,316
20.11.19,0,35,277,22,8,342
21.11.19,0,39,273,25,4,341
22.11.19,0,43,296,11,8,358
23.11.19,0,39,166,60,5,270
24.11.19,0,30,219,74,7,330
25.11.19,0,36,262,30,3,331
26.11.19,0,29,269,8,6,312
27.11.19,0,39,254,26,8,327
28.11.19,0,0,35,291,13,339
29.11.19,0,31,235,78,6,350
30.11.19,0,35,159,63,5,262
01.10.19,0,36,205,124,9,374
02.10.19,0,40,192,163,5,400
03.10.19,0,36,240,111,5,392
04.10.19,0,40,220,154,5,419
05.10.19,0,48,222,101,5,376
06.10.19,0,50,235,107,7,399
07.10.19,0,44,307,43,3,397
08.10.19,0,41,283,43,5,372
09.10.19,0,43,317,44,5,409
10.10.19,0,12,137,235,14,398
11.10.19,0,43,324,45,6,418
12.10.19,0,46,222,88,5,361
13.10.19,0,48,241,104,4,397
14.10.19,0,40,313,30,15,398
15.10.19,0,14,146,163,22,345
16.10.19,0,35,291,43,11,380
17.10.19,0,40,300,46,7,393
18.10.19,0,44,282,71,6,403
19.10.19,0,50,219,92,10,371
20.10.19,0,42,289,51,16,398
21.10.19,0,36,312,45,6,399
22.10.19,0,33,298,33,8,372
23.10.19,0,37,293,46,5,381
24.10.19,0,38,304,44,7,393
25.10.19,0,42,306,41,11,400
26.10.19,0,40,258,32,18,348
27.10.19,0,33,225,91,5,354
28.10.19,0,38,277,29,5,349
29.10.19,0,36,257,24,2,319
30.10.19,0,37,276,33,6,352
31.10.19,0,43,272,32,6,353
01.09.19,0,50,236,106,4,396
02.09.19,0,51,308,46,1,406
03.09.19,0,40,305,37,11,393
04.09.19,0,38,324,53,4,419
05.09.19,0,38,318,49,3,408
06.09.19,0,51,303,50,5,409
07.09.19,0,42,212,96,5,355
08.09.19,0,46,247,109,4,406
09.09.19,0,37,322,38,6,403
10.09.19,0,41,288,47,5,381
11.09.19,0,37,324,46,9,416
12.09.19,0,35,326,47,4,412
13.09.19,0,46,321,43,9,419
14.09.19,0,53,218,86,4,361
15.09.19,0,45,290,62,8,405
16.09.19,0,36,324,36,12,408
17.09.19,0,33,298,48,4,383
18.09.19,98,41,212,49,2,402
19.09.19,194,37,119,59,5,414
20.09.19,0,50,311,42,6,409
21.09.19,0,49,212,91,7,359
22.09.19,0,50,243,110,4,407
23.09.19,0,47,308,45,4,404
24.09.19,0,46,291,35,8,380
25.09.19,0,38,168,189,9,404
26.09.19,0,40,308,46,5,399
27.09.19,0,36,172,196,9,413
28.09.19,0,35,173,155,5,368
29.09.19,0,47,243,105,6,401
30.09.19,0,4,54,329,7,394
01.08.19,0,58,298,24,8,388
02.08.19,0,45,294,52,4,395
03.08.19,0,24,177,164,12,377
04.08.19,0,50,251,103,9,413
05.08.19,0,47,306,45,4,402
06.08.19,0,50,272,50,4,376
07.08.19,0,51,279,48,7,385
08.08.19,0,43,299,49,5,396
09.08.19,0,49,295,53,4,401
10.08.19,0,52,230,94,7,383
11.08.19,10,52,200,131,7,400
12.08.19,0,43,306,46,2,397
13.08.19,0,35,298,43,8,384
14.08.19,0,45,306,44,7,402
15.08.19,0,44,232,112,6,394
16.08.19,0,43,317,44,6,410
17.08.19,0,51,234,93,6,384
18.08.19,0,43,169,192,10,414
19.08.19,0,45,333,24,6,408
20.08.19,0,42,294,40,5,381
21.08.19,169,44,133,43,10,399
22.08.19,0,43,291,51,4,389
23.08.19,0,55,314,50,2,421
24.08.19,0,50,266,55,4,375
25.08.19,0,58,238,101,6,403
26.08.19,0,47,302,49,3,401
27.08.19,0,51,276,46,6,379
28.08.19,0,52,308,49,4,413
29.08.19,54,50,242,48,5,399
30.08.19,0,54,312,50,2,418
31.08.19,0,59,216,88,5,368
01.07.19,0,52,299,49,3,403
02.07.19,0,43,312,46,5,406
03.07.19,0,53,302,48,6,409
04.07.19,0,50,313,51,4,418
05.07.19,0,46,341,46,4,437
06.07.19,0,59,207,108,6,380
07.07.19,0,28,100,246,13,387
08.07.19,0,57,299,50,5,411
09.07.19,0,52,297,46,7,402
10.07.19,0,54,311,49,5,419
11.07.19,0,46,310,52,6,414
12.07.19,0,57,279,78,3,417
13.07.19,0,54,240,98,6,398
14.07.19,0,53,177,186,8,424
15.07.19,0,64,286,47,7,404
16.07.19,0,52,288,44,5,389
17.07.19,0,49,305,46,7,407
18.07.19,0,45,314,51,5,415
19.07.19,0,56,316,45,5,422
20.07.19,0,50,132,183,12,377
21.07.19,0,57,230,106,4,397
22.07.19,0,57,305,47,2,411
23.07.19,0,62,278,43,5,388
24.07.19,0,56,311,45,7,419
25.07.19,0,75,282,43,7,407
26.07.19,0,70,277,54,7,408
27.07.19,0,65,231,77,11,384
28.07.19,0,18,66,308,9,401
29.07.19,0,60,300,42,5,407
30.07.19,0,44,269,66,7,386
31.07.19,0,51,303,50,5,409
01.06.19,0,47,222,92,4,365
02.06.19,0,46,247,109,4,406
03.06.19,0,32,287,82,2,403
04.06.19,0,44,297,34,7,382
05.06.19,67,58,247,35,8,415
06.06.19,0,8,127,253,4,392
07.06.19,0,42,228,155,4,429
08.06.19,0,54,217,88,7,366
09.06.19,0,52,238,102,3,395
10.06.19,0,50,273,52,14,389
11.06.19,0,38,309,52,6,405
12.06.19,0,36,335,47,5,423
13.06.19,0,42,321,47,4,414
14.06.19,73,48,241,50,6,418
15.06.19,0,5,51,303,12,371
16.06.19,0,44,255,102,5,406
17.06.19,0,52,314,42,6,414
18.06.19,0,52,311,20,11,394
19.06.19,0,48,316,54,2,420
20.06.19,0,54,222,116,10,402
21.06.19,0,47,313,47,7,414
22.06.19,0,48,223,90,8,369
23.06.19,0,47,286,50,18,401
24.06.19,0,51,300,55,6,412
25.06.19,0,42,303,41,7,393
26.06.19,0,54,303,51,8,416
27.06.19,0,15,101,270,14,400
28.06.19,0,58,297,50,8,413
29.06.19,27,70,174,99,9,379
30.06.19,0,52,232,118,8,410
01.05.19,0,44,270,43,17,374
02.05.19,0,26,168,178,6,378
03.05.19,0,38,307,43,5,393
04.05.19,0,8,57,279,13,357
05.05.19,0,31,128,211,5,375
06.05.19,0,32,316,42,1,391
07.05.19,0,29,312,44,4,389
08.05.19,0,37,281,65,7,390
09.05.19,0,4,64,304,9,381
10.05.19,0,38,322,40,5,405
11.05.19,0,12,64,274,13,363
12.05.19,39,38,187,108,7,379
13.05.19,241,36,58,55,4,394
14.05.19,216,25,85,46,7,379
15.05.19,250,35,53,51,5,394
16.05.19,0,40,308,49,9,406
17.05.19,0,45,309,47,9,410
18.05.19,0,43,212,83,13,351
19.05.19,0,40,238,103,5,386
20.05.19,0,45,301,44,3,393
21.05.19,0,8,119,238,9,374
22.05.19,0,33,301,45,8,387
23.05.19,0,41,305,43,12,401
24.05.19,0,46,312,46,5,409
25.05.19,0,54,193,109,5,361
26.05.19,0,40,236,103,3,382
27.05.19,0,44,315,40,8,407
28.05.19,0,35,270,61,8,374
29.05.19,0,39,300,61,8,408
30.05.19,0,42,291,41,14,388
31.05.19,0,43,303,45,7,398
01.04.19,0,39,294,35,9,377
02.04.19,0,34,306,28,4,372
03.04.19,0,30,180,154,10,374
04.04.19,0,41,284,44,7,376
05.04.19,87,50,212,40,6,395
06.04.19,0,43,204,99,9,355
07.04.19,0,34,131,201,11,377
08.04.19,0,32,300,41,14,387
09.04.19,0,42,293,46,2,383
10.04.19,0,47,282,41,8,378
11.04.19,63,47,221,49,6,386
12.04.19,0,50,304,40,7,401
13.04.19,0,34,140,177,7,358
14.04.19,0,39,229,102,7,377
15.04.19,161,44,139,39,6,389
16.04.19,0,43,283,38,6,370
17.04.19,0,49,288,45,6,388
18.04.19,0,54,310,47,6,417
19.04.19,0,49,244,94,8,395
20.04.19,81,45,131,87,5,349
21.04.19,0,44,221,92,7,364
22.04.19,0,52,238,85,4,379
23.04.19,0,53,266,41,8,368
24.04.19,35,39,180,106,10,370
25.04.19,165,47,114,57,8,391
26.04.19,0,38,304,48,3,393
27.04.19,0,30,116,202,11,359
28.04.19,0,19,182,172,8,381
29.04.19,0,33,302,42,4,381
30.04.19,0,33,287,35,11,366
01.03.19,0,0,0,357,11,368
02.03.19,0,38,186,73,6,303
03.03.19,0,21,144,167,10,342
04.03.19,0,15,77,248,8,348
05.03.19,0,0,0,314,6,320
06.03.19,0,36,277,34,3,350
07.03.19,0,20,104,227,6,357
08.03.19,0,36,297,34,3,370
09.03.19,0,0,0,288,16,304
10.03.19,0,0,3,339,8,350
11.03.19,0,0,0,337,10,347
12.03.19,0,36,260,29,1,326
13.03.19,0,0,0,338,10,348
14.03.19,0,0,60,293,11,364
15.03.19,0,1,14,333,17,365
16.03.19,0,6,36,243,17,302
17.03.19,0,6,33,292,18,349
18.03.19,0,33,293,32,8,366
19.03.19,0,35,274,24,4,337
20.03.19,134,33,153,36,3,359
21.03.19,0,42,279,30,8,359
22.03.19,0,38,289,35,3,365
23.03.19,0,41,169,83,11,304
24.03.19,0,34,114,191,6,345
25.03.19,0,1,100,249,10,360
26.03.19,0,38,277,31,3,349
27.03.19,168,38,107,40,4,357
28.03.19,190,35,86,39,6,356
29.03.19,0,39,304,29,8,380
30.03.19,0,45,167,89,6,307
31.03.19,100,45,104,99,10,358
01.02.19,0,35,272,39,5,351
02.02.19,0,46,217,9,10,282
03.02.19,0,32,195,91,10,328
04.02.19,0,37,254,29,3,323
05.02.19,0,29,268,26,2,325
06.02.19,0,31,277,33,4,345
07.02.19,0,36,273,30,5,344
08.02.19,0,38,291,28,4,361
09.02.19,0,5,59,218,16,298
10.02.19,0,32,101,197,7,337
11.02.19,0,34,269,34,3,340
12.02.19,0,31,264,24,3,322
13.02.19,0,30,287,28,6,351
14.02.19,0,33,291,32,4,360
15.02.19,0,32,297,33,2,364
16.02.19,0,34,187,84,4,309
17.02.19,0,32,220,92,5,349
18.02.19,0,31,277,28,4,340
19.02.19,0,31,276,26,3,336
20.02.19,0,32,282,35,5,354
21.02.19,0,30,303,32,4,369
22.02.19,85,36,214,40,5,380
23.02.19,148,43,35,85,6,317
24.02.19,0,37,219,88,10,354
25.02.19,39,32,244,32,4,351
26.02.19,0,31,269,28,2,330
27.02.19,0,39,291,38,2,370
28.02.19,0,27,159,173,5,364
01.01.19,0,33,181,77,3,294
02.01.19,0,0,16,323,14,353
03.01.19,0,27,264,42,3,336
04.01.19,0,30,287,39,2,358
05.01.19,0,40,195,77,5,317
06.01.19,0,33,228,88,6,355
07.01.19,0,30,282,34,2,348
08.01.19,0,34,242,38,6,320
09.01.19,0,16,183,132,10,341
10.01.19,0,40,243,32,4,319
11.01.19,0,33,272,39,4,348
12.01.19,0,35,177,75,6,293
13.01.19,0,2,0,329,8,339
14.01.19,0,4,79,244,12,339
15.01.19,0,36,258,27,4,325
16.01.19,0,30,280,31,6,347
17.01.19,0,9,101,228,9,347
18.01.19,0,30,312,29,3,374
19.01.19,0,30,185,78,5,298
20.01.19,0,33,229,90,3,355
21.01.19,0,31,322,32,1,386
22.01.19,0,31,276,29,3,339
23.01.19,0,31,285,36,5,357
24.01.19,0,34,196,159,5,394
25.01.19,0,40,369,34,4,447
26.01.19,0,41,224,26,9,300
27.01.19,0,36,183,111,6,336
28.01.19,0,34,272,33,4,343
29.01.19,0,33,257,26,2,318
30.01.19,0,31,266,36,3,336
31.01.19,0,40,275,32,6,353
